,Unnamed: 0,precos,tamanhos,quartos,banheiros,vagas,bairros_preco_medio
2985,2985,2350000.0,609.0,3.0,4.0,2.0,2550807.9487179485
2986,2986,580000.0,386.0,2.0,4.0,7.0,591760.4255319149
2987,2987,420000.0,200.0,2.0,2.0,2.0,359570.0
2988,2988,480000.0,300.0,3.0,3.0,2.0,347615.3846153846
2990,2990,260000.0,260.0,3.0,2.0,3.0,236919.0
2991,2991,340000.0,200.0,3.0,1.0,4.0,252048.42105263157
2992,2992,350000.0,209.0,2.0,1.0,6.0,347615.3846153846
2993,2993,395000.0,145.0,3.0,1.0,2.0,320634.0
2994,2994,1199000.0,120.0,3.0,2.0,2.0,550146.1224489796
2996,2996,890000.0,2130.0,3.0,4.0,4.0,468388.48484848486
2997,2997,350000.0,201.0,2.0,3.0,2.0,302072.14285714284
2998,2998,600000.0,360.0,3.0,5.0,4.0,563572.6315789474
2999,2999,550000.0,251.0,3.0,4.0,3.0,461814.44444444444
3001,3001,1480000.0,442.0,4.0,4.0,3.0,2032942.75
3002,3002,395000.0,293.0,2.0,1.0,2.0,263843.375
3003,3003,300000.0,147.0,2.0,3.0,2.0,550146.1224489796
3004,3004,2190000.0,525.0,4.0,6.0,4.0,2550807.9487179485
3005,3005,790000.0,484.0,4.0,3.0,5.0,506066.44444444444
3006,3006,800000.0,726.0,3.0,3.0,6.0,591760.4255319149
3007,3007,820000.0,504.0,4.0,4.0,4.0,622106.0416666666
3010,3010,2500000.0,3000.0,4.0,6.0,6.0,2516347.5675675673
3011,3011,420000.0,100.0,3.0,3.0,3.0,468388.48484848486
3012,3012,350000.0,247.0,3.0,2.0,3.0,521428.5714285714
3013,3013,430000.0,300.0,3.0,1.0,4.0,343682.5
3014,3014,150000.0,153.0,2.0,1.0,1.0,350808.51851851854
3015,3015,800000.0,666.0,2.0,2.0,4.0,520996.43209876545
3016,3016,2350000.0,609.0,3.0,4.0,2.0,2550807.9487179485
3017,3017,580000.0,386.0,2.0,4.0,7.0,591760.4255319149
3018,3018,420000.0,200.0,2.0,2.0,2.0,359570.0
3019,3019,480000.0,300.0,3.0,3.0,2.0,347615.3846153846
3021,3021,260000.0,260.0,3.0,2.0,3.0,236919.0
3022,3022,340000.0,200.0,3.0,1.0,4.0,252048.42105263157
3023,3023,350000.0,209.0,2.0,1.0,6.0,347615.3846153846
3024,3024,395000.0,145.0,3.0,1.0,2.0,320634.0
3025,3025,1199000.0,120.0,3.0,2.0,2.0,550146.1224489796
3027,3027,890000.0,2130.0,3.0,4.0,4.0,468388.48484848486
3028,3028,350000.0,201.0,2.0,3.0,2.0,302072.14285714284
3029,3029,600000.0,360.0,3.0,5.0,4.0,563572.6315789474
3030,3030,195000.0,200.0,2.0,1.0,2.0,396190.0
3031,3031,269000.0,264.0,3.0,2.0,3.0,181915.88
3032,3032,375000.0,180.0,3.0,2.0,2.0,350808.51851851854
3033,3033,590000.0,300.0,3.0,2.0,2.0,400110.1818181818
3034,3034,280000.0,200.0,3.0,2.0,2.0,359570.0
3035,3035,390000.0,200.0,3.0,2.0,1.0,396190.0
3036,3036,670000.0,287.0,3.0,3.0,2.0,779855.1063829787
3037,3037,450000.0,351.0,3.0,2.0,3.0,366273.25
3038,3038,490000.0,200.0,3.0,4.0,2.0,396190.0
3039,3039,570000.0,180.0,3.0,2.0,2.0,622106.0416666666
3040,3040,370000.0,150.0,3.0,2.0,2.0,407702.85714285716
3041,3041,750000.0,360.0,6.0,2.0,8.0,374015.45454545453
3042,3042,950000.0,412.0,3.0,5.0,2.0,836100.0
3043,3043,350000.0,12.0,2.0,1.0,2.0,359570.0
3044,3044,280000.0,200.0,3.0,1.0,2.0,359570.0
3045,3045,1400000.0,477.0,4.0,2.0,4.0,725500.0
3046,3046,550000.0,420.0,3.0,3.0,4.0,415415.11627906974
3047,3047,360000.0,244.0,3.0,4.0,5.0,366273.25
3048,3048,1100000.0,242.0,4.0,2.0,4.0,521428.5714285714
3049,3049,740000.0,600.0,3.0,2.0,4.0,563572.6315789474
3050,3050,245000.0,166.0,3.0,1.0,1.0,267878.9
3051,3051,370000.0,126.0,3.0,2.0,1.0,181915.88
3052,3052,800000.0,283.0,4.0,5.0,3.0,690000.0
